dataset,L,K,point_precision,point_recall,point_f1,candidate_size,exact_r25_candidate_size,candidate_to_true_ratio,candidate_expansion_ratio,query_time_ms,mean_hamming_threshold
cifar10,20,32,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.473883325004067,7.259880050505049
cifar10,20,34,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.4368531499987967,8.07221590909091
cifar10,20,36,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.43008537499918,9.220713383838383
cifar10,20,38,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.422604125001726,10.07221590909091
cifar10,20,40,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.438719749999052,11.235435606060605
cifar10,20,42,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.4530397250018154,12.464501262626262
cifar10,20,44,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.4475363499988134,14.062651515151515
cifar10,20,46,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.460044824999841,15.245486111111111
cifar10,20,48,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.5330269999997768,16.723232323232324
cifar10,20,50,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.50856567500648,19.087493686868687
cifar10,20,52,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.506129225000109,18.864021464646463
cifar10,20,54,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.5726010999918003,18.62058080808081
cifar10,20,56,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.7241167749991746,19.166881313131313
